#Frame                com          pep          pro         bind
      3.9900       2.7473       1.5675       2.7769       1.9167
      4.0000       2.7419       1.5769       2.7715       1.9154
      4.0100       2.8637       1.5634       2.8947       1.9863
      4.0200       2.9103       1.5540       2.9447       2.0295
      4.0300       2.7799       1.5536       2.8082       1.9340
      4.0400       2.7034       1.5374       2.7275       1.8746
      4.0500       2.7614       1.5609       2.8008       1.8605
      4.0600       2.7008       1.6703       2.7143       1.9696
      4.0700       2.8024       1.5541       2.8287       1.8660
      4.0800       2.8038       1.7149       2.8089       1.9695
      4.0900       2.8474       1.6618       2.8546       1.9727
      4.1000       2.6611       1.5465       2.6656       1.8605
      4.1100       2.7933       1.7370       2.7877       2.0006
      4.1200       2.7472       1.7157       2.7293       1.9776
      4.1300       2.7908       1.6754       2.7898       1.9410
      4.1400       2.7917       1.8711       2.7812       2.0806
      4.1500       2.7787       1.6480       2.7800       1.9737
      4.1600       2.8015       1.6518       2.7842       1.9692
      4.1700       2.7865       1.6511       2.7569       1.9548
      4.1800       2.7310       1.7180       2.7140       2.0093
      4.1900       2.7485       1.6711       2.7028       2.0176
      4.2000       2.6959       1.6407       2.6733       1.9584
      4.2100       2.6996       1.5544       2.6797       1.8839
      4.2200       2.8380       1.4991       2.8169       1.9057
      4.2300       2.8215       1.4786       2.8170       1.9424
      4.2400       2.8009       1.5647       2.8025       1.9683
      4.2500       2.7091       1.6652       2.6919       1.9712
      4.2600       2.8536       1.8054       2.8203       2.1004
      4.2700       2.9114       1.8429       2.8887       2.1269
      4.2800       2.8760       1.8978       2.8311       2.2282
      4.2900       2.9294       1.8981       2.9076       2.0762
      4.3000       2.9246       1.7543       2.9296       2.0664
      4.3100       3.0539       1.9647       3.0258       2.2365
      4.3200       2.8824       1.9357       2.8651       2.1351
      4.3300       2.9904       1.8863       2.9782       2.1141
      4.3400       2.8887       1.9624       2.8654       2.1251
      4.3500       2.9494       2.0675       2.9299       2.1844
      4.3600       2.9804       2.0500       2.9604       2.1645
      4.3700       3.0289       2.1353       2.9978       2.2210
      4.3800       3.0248       2.0405       3.0079       2.2380
      4.3900       2.8754       1.9643       2.8533       2.1256
      4.4000       3.0332       2.0197       3.0114       2.1940
      4.4100       3.0231       1.8521       3.0111       2.1703
      4.4200       2.9960       1.9181       2.9997       2.1020
      4.4300       2.9117       1.9599       2.8935       2.1299
      4.4400       2.7665       1.9584       2.7381       2.0090
      4.4500       2.8655       1.9090       2.8417       2.0844
      4.4600       2.9170       2.0195       2.8908       2.0830
      4.4700       2.9365       1.9926       2.9080       2.0645
      4.4800       2.7775       1.9070       2.7445       2.0301
      4.4900       2.7417       1.9014       2.7037       2.0355
      4.5000       2.8483       1.9801       2.7931       2.0652
